unicode,Kanji,Definition,On Readings,Kun Readings
U+5012,倒,"overthrow, fall, collapse, drop, break down",トウ,"たお.れる, -だお.れ, たお.す, さかさま, さかさ, さかしま"
U+5016,倖,"happiness, luck",コウ,"しあわ.せ, さいわ.い"
U+5018,倘,"if, supposing, in event of, dullness","ショウ, トウ","もし, たちもとお.る"
U+5019,候,"climate, season, weather, wait for, expect",コウ,そうろう
U+501A,倚,"lean on, rest against","イ, キ","よ.る, たの.む"
U+501F,借,"borrow, rent",シャク,か.りる
U+5023,倣,"emulate, imitate",ホウ,なら.う
U+5026,倦,"lose interest in, tire of",ケン,"あき.る, あぐ.む, あぐ.ねる, う.む, つか.れる"
U+5029,倩,"carefully, attentively, profoundly","セン, セイ","つらつら, うつく.しい"
U+502B,倫,"ethics, companion",リン,
U+502D,倭,"Yamato, ancient Japan","ワ, イ","やまと, したが.う"
U+5036,倶,"both, together, alike","グ, ク",とも.に
U+5047,假,"temporary, interim, assumed (name), informal","カ, ケ","かり, かり.る"
U+5048,偈,"verse in praise of Buddha, fast, healthy, rest","ゲ, ケツ, ケイ",いこ.う
U+504F,偏,"partial, side, left-side radical, inclining, biased",ヘン,かたよ.る
U+5056,偖,"well, now",シャ,さて
U+505C,停,"halt, stopping",テイ,"と.める, と.まる"
U+5065,健,"healthy, health, strength, persistence",ケン,すこ.やか
U+5074,側,"side, lean, oppose, regret",ソク,"かわ, がわ, そば"
U+5076,偶,"accidentally, even number, couple, man & wife, same kind",グウ,たま
U+5078,偸,steal,"ツ, トウ, チュウ",ぬす.む
U+507D,偽,"falsehood, lie, deceive, pretend, counterfeit, forgery","ギ, カ","いつわ.る, にせ, いつわ.り"
U+5080,傀,large,カイ,おおき.い
U+5085,傅,tutor,フ,"かしず.く, つく, もり"
U+508D,傍,"bystander, side, besides, while, nearby, third person",ボウ,"かたわ.ら, わき, おか-, はた, そば"
U+5098,傘,umbrella,サン,かさ
U+5099,備,"equip, provision, preparation",ビ,"そな.える, そな.わる, つぶさ.に"
U+509A,傚,"imitate, follow, emulate",コウ,なら.う
U+50AC,催,"sponsor, hold (a meeting), give (a dinner)",サイ,"もよう.す, もよお.す"
U+50B3,傳,"summon, propagate, transmit","テン, デン","つた.わる, つた.える, つた.う, つて"
U+50B5,債,"bond, loan, debt",サイ,
U+50B7,傷,"wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point",ショウ,"きず, いた.む, いた.める"
U+50BE,傾,"lean, incline, tilt, trend, wane, sink, ruin, bias",ケイ,"かたむ.く, かたむ.ける, かたぶ.く, かた.げる, かし.げる"
U+50C5,僅,a wee bit,"キン, ゴン",わず.か
U+50C9,僉,all,セン,みな
U+50CD,働,"work, (kokuji)",ドウ,はたら.く
U+50CF,像,"statue, picture, image, figure, portrait",ゾウ,
U+50D5,僕,"me, I (male), servant, manservant",ボク,しもべ
U+50DE,僞,"lie, falsehood, deceive, pretend","ギ, カ","いつわ.る, いつわ.り, にせ"
U+50E5,僥,"luck, seek, desire","ギョウ, キョウ",
U+50E7,僧,"Buddhist priest, monk",ソウ,
U+50F5,僵,"fall down, collapse",キョウ,たお.れる
U+50F9,價,"price, value","カ, ケ",あたい
U+50FB,僻,"prejudice, bias, rural area","ヘキ, ヒ, ヘイ","へき.する, ひが.む"
U+5100,儀,"ceremony, rule, affair, case, a matter",ギ,
U+5104,億,"hundred million, 10**8",オク,
U+5109,儉,"economy, thrifty",ケン,"つま.しい, つづまやか"
U+5112,儒,Confucian,ジュ,
U+5118,儘,"as it is, because",ジン,"まま, ことごとく"
U+5121,儡,defeat,ライ,
U+512A,優,"tenderness, excel, surpass, actor, superiority, gentleness","ユウ, ウ","やさ.しい, すぐ.れる, まさ.る"
U+5141,允,"license, sincerity, permit",イン,"じょう, まこと.に, ゆるす"
U+5143,元,"beginning, former time, origin","ゲン, ガン",もと
U+5144,兄,"elder brother, big brother","ケイ, キョウ",あに
U+5145,充,"allot, fill",ジュウ,"あ.てる, み.たす"
U+5146,兆,"portent, 10**12, trillion, sign, omen, symptoms",チョウ,"きざ.す, きざ.し"
U+5147,兇,wickedness,キョウ,"おそ.れる, わる.い"
U+5148,先,"before, ahead, previous, future, precedence",セン,"さき, ま.ず"
U+5149,光,"ray, light",コウ,"ひか.る, ひかり"
U+514A,兊,,"ダ, エイ, エツ, タイ",よろこ.ぶ
U+514B,克,"overcome, kindly, skillfully",コク,か.つ
U+514C,兌,exchange,"ダ, エイ, エツ, タイ",よろこ.ぶ
U+514D,免,"excuse, dismissal",メン,"まぬか.れる, まぬが.れる"
U+514E,兎,"rabbit, hare","ト, ツ",うさぎ
U+5150,児,"newborn babe, child, young of animals","ジ, ニ, ゲイ","こ, -こ, -っこ"
U+5152,兒,"child, young of animals","ジ, ニ, ゲイ",こ
U+515C,兜,"helmet, head piece","トウ, ト",かぶと
U+5165,入,"enter, insert","ニュウ, ジュ","い.る, -い.る, -い.り, い.れる, -い.れ, はい.る"
U+5168,全,"whole, entire, all, complete, fulfill",ゼン,"まった.く, すべ.て"
U+5169,兩,"old Japanese coin, both, counter for vehicles, two",リョウ,ふたつ
U+516A,兪,"affirmative response, relaxed, at ease",ユ,しかり
U+516B,八,"eight, eight radical (no. 12)","ハチ, ハツ","や, や.つ, やっ.つ, よう"
U+516C,公,"public, prince, official, governmental","コウ, ク",おおやけ
U+516D,六,six,"ロク, リク","む, む.つ, むっ.つ, むい"
U+5171,共,"together, both, neither, all, and, alike, with",キョウ,"とも, とも.に, -ども"
U+5175,兵,"soldier, private, troops, army, warfare, strategy, tactics","ヘイ, ヒョウ",つわもの
U+5176,其,that,"キ, ギ, ゴ","それ, その"
U+5177,具,"tool, utensil, means, possess, ingredients, counter for armor,  suits,  sets of furniture",グ,"そな.える, つぶさ.に"
U+5178,典,"code, ceremony, law, rule","テン, デン","ふみ, のり"
U+517C,兼,"concurrently, and, beforehand, in advance",ケン,"か.ねる, -か.ねる"
U+5185,内,"inside, within, between, among, house, home","ナイ, ダイ",うち
U+5186,円,"circle, yen, round",エン,"まる.い, まる, まど, まど.か, まろ.やか"
U+518A,冊,"tome, counter for books, volume","サツ, サク",ふみ
U+518C,册,"counter for books, volume","サツ, サク",ふみ
U+518D,再,"again, twice, second time","サイ, サ",ふたた.び
U+5199,写,"copy, be photographed, describe","シャ, ジャ","うつ.す, うつ.る, うつ-, うつ.し"
U+519D,冝,"suitable, right, fitting, proper",ギ,"よろ.しい, よろ.しく"
U+51A0,冠,"crown, best, peerless",カン,かんむり
U+51A5,冥,dark,"メイ, ミョウ",くら.い
U+51A8,冨,"enrich, wealthy, abundant","フ, フウ","と.む, とみ"
U+51AC,冬,winter,トウ,ふゆ
U+51B4,冴,"be clear, serene, cold, skilful","ゴ, コ","さ.える, こお.る, ひ.える"
U+51B6,冶,"melting, smelting",ヤ,い.る
U+51B7,冷,"cool, cold (beer,  person), chill",レイ,"つめ.たい, ひ.える, ひ.や, ひ.ややか, ひ.やす, ひ.やかす, さ.める, さ.ます"
U+51C4,凄,"uncanny, weird, threatening, horrible","セイ, サイ","さむ.い, すご.い, すさ.まじい"
U+51C6,准,"quasi-, semi-, associate",ジュン,
U+51C9,凉,nice and cool,リョウ,"すず.しい, すず.む, すず.やか, うす.い, ひや.す, まことに"
U+51CB,凋,"wither, droop, lame",チョウ,しぼ.む
U+51CC,凌,"endure, keep (rain)out, stave off, tide over, defy, slight, surpass",リョウ,しの.ぐ
U+51CD,凍,"frozen, congeal, refrigerate",トウ,"こお.る, こご.える, こご.る, い.てる, し.みる"
U+51DD,凝,"congeal, freeze, stiff, be absorbed in",ギョウ,"こ.る, こ.らす, こご.らす, こご.らせる, こご.る"
U+51E0,几,"table, table enclosure, table or windy radical (no. 16)",キ,きにょう
U+51E1,凡,"commonplace, ordinary, mediocre","ボン, ハン","およ.そ, おうよ.そ, すべ.て"
U+51E6,処,"dispose, manage, deal with, sentence, condemn, act, behave, place",ショ,"ところ, -こ, お.る"
U+51F6,凶,"villain, evil, bad luck, disaster",キョウ,
U+51F9,凹,"concave, hollow, sunken",オウ,"くぼ.む, へこ.む, ぼこ"
U+51FA,出,"exit, leave, go out, come out, put out, protrude","シュツ, スイ","で.る, -で, だ.す, -だ.す, い.でる, い.だす"
U+5200,刀,"sword, saber, knife",トウ,"かたな, そり"
U+5203,刃,"blade, sword, edge","ジン, ニン","は, やいば, き.る"
U+5204,刄,"blade, sword, edge","ジン, ニン","は, やいば, き.る"
U+5206,分,"part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100","ブン, フン, ブ","わ.ける, わ.け, わ.かれる, わ.かる, わ.かつ"
U+5207,切,"cut, cutoff, be sharp","セツ, サイ","き.る, -き.る, き.り, -き.り, -ぎ.り, き.れる, -き.れる, き.れ, -き.れ, -ぎ.れ"
U+5208,刈,"reap, cut, clip, trim, prune","ガイ, カイ",か.る
U+520A,刊,"publish, carve, engrave",カン,
U+5211,刑,"punish, penalty, sentence, punishment",ケイ,
U+5215,刕,,"リ, レイ, ライ",さ.く
U+5217,列,"file, row, rank, tier, column","レツ, レ",
U+521D,初,"first time, beginning",ショ,"はじ.め, はじ.めて, はつ, はつ-, うい-, -そ.める, -ぞ.め"
U+5224,判,"judgement, judgment, signature, stamp, seal","ハン, バン",わか.る
U+5225,別,"separate, branch off, diverge, fork, another, extra, specially",ベツ,"わか.れる, わ.ける"
U+5229,利,"profit, advantage, benefit",リ,き.く
U+522A,刪,cut down,サン,けず.る
U+5230,到,"arrival, proceed, reach, attain, result in",トウ,いた.る
U+5236,制,"system, law, rule",セイ,
U+5239,刹,temple,"セチ, セツ, サツ",
U+523A,刺,"thorn, pierce, stab, prick, sting, calling card",シ,"さ.す, さ.さる, さ.し, さし, とげ"
U+523B,刻,"engrave, cut fine, chop, hash, mince, time, carving",コク,"きざ.む, きざ.み"
U+5243,剃,shave,テイ,"まい, そ.る, す.る"
U+5247,則,"rule, law, follow, based on, model after",ソク,"のっと.る, のり, すなわち"
U+524A,削,"plane, sharpen, whittle, pare, shave",サク,"けず.る, はつ.る, そ.ぐ"
U+524B,剋,victory,コク,かつ
U+524D,前,"in front, before",ゼン,"まえ, -まえ"
U+5256,剖,divide,ボウ,
U+525B,剛,"sturdy, strength",ゴウ,
U+5263,剣,"sabre, sword, blade, clock hand",ケン,つるぎ
U+5265,剥,"come off, peel, fade, discolor","ハク, ホク","へ.ぐ, へず.る, む.く, む.ける, は.がれる, は.ぐ, は.げる, は.がす"
U+5269,剩,"leftovers, residue, remains",ジョウ,"あまつさえ, あま.り, あま.る"
U+526A,剪,"clip, snip, cut",セン,"き.る, つ.む"
U+526F,副,"vice-, assistant, aide, duplicate, copy",フク,
U+5271,剱,sword,ケン,つるぎ
U+5272,割,"proportion, comparatively, divide, cut, separate, split",カツ,"わ.る, わり, わ.り, わ.れる, さ.く"
U+5275,創,"genesis, wound, injury, hurt, start, originate","ソウ, ショウ","つく.る, はじ.める, きず, けず.しける"
U+5287,劇,"drama, play",ゲキ,
U+5289,劉,"weapon of war, logging axe, kill en masse, peeling (paint off a wall,  etc), sparse, faded","リュウ, ル",ころ.す
U+5294,劔,sword,ケン,つるぎ
U+529B,力,"power, strength, strong, strain, bear up, exert","リョク, リキ, リイ",ちから
U+529F,功,"achievement, merits, success, honor, credit","コウ, ク",いさお
U+52A0,加,"add, addition, increase, join, include, Canada",カ,"くわ.える, くわ.わる"
U+52A3,劣,"inferiority, be inferior to, be worse",レツ,おと.る
U+52A9,助,"help, rescue, assist",ジョ,"たす.ける, たす.かる, す.ける, すけ"
U+52AA,努,"toil, diligent, as much as possible",ド,つと.める
U+52AB,劫,"threat, long ages","コウ, ゴウ, キョウ",おびや.かす
U+52B1,励,"encourage, be diligent, inspire",レイ,"はげ.む, はげ.ます"
U+52B4,労,"labor, thank for, reward for, toil, trouble",ロウ,"ろう.する, いたわ.る, いた.ずき, ねぎら, つか.れる, ねぎら.う"
U+52C3,勃,"suddenness, rise","ボツ, ホツ","おこ.る, にわかに"
U+52C5,勅,imperial order,チョク,"いまし.める, みことのり"
U+52C7,勇,"courage, cheer up, be in high spirits, bravery, heroism",ユウ,いさ.む
U+52C9,勉,"exertion, endeavour, encourage, strive, make effort, diligent",ベン,つと.める
U+52D5,動,"move, motion, change, confusion, shift, shake",ドウ,"うご.く, うご.かす"
U+52D8,勘,"intuition, perception, check, compare, sixth sense",カン,
U+52D9,務,"task, duties",ム,つと.める
U+52DD,勝,"victory, win, prevail, excel",ショウ,"か.つ, -が.ち, まさ.る, すぐ.れる, かつ"
U+52DE,勞,"thank for, reward for",ロウ,"ろう.する, いたわ.る, いた.ずき, ねぎら.う, つか.れる, ねぎら.い"
U+52DF,募,"recruit, campaign, gather (contributions), enlist, grow violent",ボ,つの.る
U+52E2,勢,"forces, energy, military strength","セイ, ゼイ","いきお.い, はずみ"
U+52E4,勤,"diligence, become employed, serve","キン, ゴン","つと.める, -づと.め, つと.まる, いそ.しむ"
U+52E6,勦,"destroy, steal","ソウ, ショウ",
U+52E7,勧,"persuade, recommend, advise, encourage, offer","カン, ケン",すす.める
U+52F8,勸,"persuade, recommend, advise, encourage, offer","カン, ケン",すす.める
U+52FA,勺,"ladle, one tenth of a go, dip",シャク,
U+52FE,勾,"be bent, slope, capture","コウ, ク","かぎ, ま.がる"
U+52FF,勿,"not, must not, do not, be not","モチ, ブツ, ボツ","なか.れ, なし"
U+5301,匁,"monme, 3.75 grams, (kokuji)",,"もんめ, め"
U+5302,匂,"fragrant, stink, glow, insinuate, (kokuji)",,"にお.う, にお.い, にお.わせる"
U+5305,包,"wrap, pack up, cover, conceal",ホウ,"つつ.む, くる.む"
U+5315,匕,"spoon, spoon or katakana hi radical (no. 21)",ヒ,さじ
U+5316,化,"change, take the form of, influence, enchant, delude, -ization","カ, ケ","ば.ける, ば.かす, ふ.ける, け.する"
U+5317,北,north,ホク,きた
U+5319,匙,spoon,シ,さじ
U+531C,匜,"basin, container for wine","イ, タ","ひさげ, はんぞう"
U+5320,匠,"artisan, workman, carpenter",ショウ,たくみ
U+5323,匣,box,コウ,はこ
U+5339,匹,"equal, head, counter for small animals, roll of cloth",ヒツ,ひき
U+533B,医,"doctor, medicine",イ,"い.やす, い.する, くすし"
U+5341,十,ten,"ジュウ, ジッ, ジュッ","とお, と, そ"
U+5343,千,thousand,セン,ち
U+5345,卅,thirty,ソウ,さんじゅう
U+5347,升,"measuring box, 1.8 liter",ショウ,ます
